과정명,고유개수,이름개수
2024 안전보건교육 상반기(사무 및 판매 근로자_기타사업),98,100
2024 안전보건교육 상반기(현장근로자_기타사업)_무재해,1,2
2024 안전보건교육 하반기(사무 및 판매 근로자_기타사업),57,59
2024 안전보건교육 하반기(현장근로자_기타사업),1,2
2024년 상반기 정보보안 및 개인정보보호 교육,185,370
2024년 찾아가는 계약교육,15,22
2024년 찾아가는 회계교육_강의,3,21
[2024 법정필수교육] 4대 폭력 예방,148,151
[2024 법정필수교육] 4대 폭력 예방+개인정보보호,11,22
[2024 법정필수교육] 성희롱 예방+개인정보보호+직장 내 장애인 인식개선+직장 내 괴롭힘 예방,15,54
[내일을 잇는 클래스] 공공기관 청렴·반부패 교육,80,82
"[리얼법전(戰)] 김정근, 이지애와 함께하는 직장 내 괴롭힘 예방교육",145,148
[반부패청렴] 2024년 청렴윤리경영의 이해,4,5
"[생생고민톡] 김기리, 윤태진과 함께하는 개인정보보호 교육",8,9
"[줌인토크] 이승국, 황보라와 함께하는 개인정보보호 교육",7,8
"[줌인토크] 이승국, 황보라와 함께하는 직장 내 장애인 인식개선 교육",157,161
"[카드뉴스] 지속가능한 기업의 성공 법칙, ESG 빠르게 읽기",136,137
트렌드 읽기가 일상이 되는 12가지 방법,1,2
