과정명,연번_x,연번_y,일치 여부
2024안전보건교육(관리감독자_채용시_기타사업),1,7,False
2024안전보건교육(관리감독자_채용시_기타사업),6,7,False
2024안전보건교육상반기(사무및판매근로자_기타사업),100,102,False
2024안전보건교육상반기(사무및판매근로자_기타사업),2,102,False
[수어포함]아동학대신고의무자교육및공공부문종사자아동학대예방교육,1,5,False
[수어포함]아동학대신고의무자교육및공공부문종사자아동학대예방교육,4,5,False
"[줌인토크]이승국,황보라와함께하는직장내장애인인식개선교육",161,163,False
"[줌인토크]이승국,황보라와함께하는직장내장애인인식개선교육",2,163,False
성인대상자살예방인식개선교육,1,159,False
성인대상자살예방인식개선교육,158,159,False
아동학대예방신고의무자및공공부문법정의무교육,1,2,False
아동학대예방신고의무자및공공부문법정의무교육,1,2,False
장애인학대예방및신고의무자교육(3차시),1,2,False
장애인학대예방및신고의무자교육(3차시),1,2,False
핵심만콕!비즈니스문서작성의핵심과실무스킬(22차시),1,2,False
핵심만콕!비즈니스문서작성의핵심과실무스킬(22차시),1,2,False
